[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:55+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:33:56+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:33:56+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002102s ]
[ 2013-05-23T23:33:56+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003231s ]
[ 2013-05-23T23:33:56+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005787s ]
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002217s ]
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003244s ]
[ 2013-05-23T23:34:09+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005905s ]
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002243s ]
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003051s ]
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005737s ]
