[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 13 )  [ RunTime:0.000275s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 11 )  [ RunTime:0.000278s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 12 )  [ RunTime:0.000271s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 12 )  [ RunTime:0.000260s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 13 )  [ RunTime:0.000298s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 13 )  [ RunTime:0.000281s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 1 )  [ RunTime:0.000291s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 2 )  [ RunTime:0.000283s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 3 )  [ RunTime:0.000259s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 3 )  [ RunTime:0.000261s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [8] Undefined variable: tree MenuModel.class.php 第 54 行.
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | SQL: SELECT * FROM `think_menu` WHERE ( `pid` = 6 )  [ RunTime:0.000261s ]
[ 2013-05-29T16:55:18+08:00 ] /index.php/Admin/Management/adminaccess/id/1 | NOTIC: [2] Invalid argument supplied for foreach() MenuModel.class.php 第 42 行.
