[ 2013-05-27T15:45:20+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000488s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.000722s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003256s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.000659s ]
[ 2013-05-27T16:13:59+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.000747s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000845s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000958s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000637s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run CheckLang Behavior [ RunTime:0.000996s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001789s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001141s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001257s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.007969s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008080s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000504s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000570s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000348s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000604s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002268s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000522s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000607s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001354s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001504s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000864s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.001159s ]
[ 2013-05-27T16:14:02+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002207s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001977s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002107s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001748s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.002263s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004182s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002737s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002880s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.015624s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015751s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001686s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001617s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001454s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001699s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006734s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001652s ]
[ 2013-05-27T16:16:30+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001740s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001959s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002081s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001761s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run CheckLang Behavior [ RunTime:0.002035s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003945s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --START--
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002679s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002790s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --START--
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.014982s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015124s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --START--
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001768s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001703s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001517s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001722s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006990s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --START--
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001622s ]
[ 2013-05-27T16:16:33+08:00 ] /index.php/Admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001719s ]
[ 2013-05-27T16:16:34+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:16:34+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002199s ]
[ 2013-05-27T16:16:34+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002352s ]
[ 2013-05-27T16:16:34+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T16:16:34+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001976s ]
[ 2013-05-27T16:16:34+08:00 ] /index.php/Admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002062s ]
[ 2013-05-27T16:16:34+08:00 ] /index.php/Admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004196s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001963s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002087s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002193s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.002118s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004491s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005002s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | SQL: SELECT * FROM `think_user` WHERE ( `username` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.000375s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --START--
