[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_filter ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.001949s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.001899s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001501s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.002109s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008081s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_end ] --START--
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.002724s ]
[ 2013-05-26T10:24:17+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.002993s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ route_check ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run CheckRoute Behavior [ RunTime:0.005537s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.007327s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ app_begin ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004888s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run CheckLang Behavior [ RunTime:0.005539s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011215s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.012964s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_template ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.005456s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.005760s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_parse ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run ParseTemplate Behavior [ RunTime:0.064559s ]
